"transaction_id","customer_name","account_number","transaction_date_raw","transaction_amount","currency","transaction_type","branch_code","balance_after_transaction","notes","data_issue_flag","transaction_date_clean","balance_issue_flag"
"724152","Andrew Travis",NULL,"2022-11-04","1695.92","USD","Credit",NULL,"65037.29",NULL," Invalid Account Number","2022-11-04","Mismatch"
"757931","Donald Colon","67226024","March 19, 2023","18050.66","INVALID","Debit",NULL,"57336.07",NULL,NULL,"2023-03-19",NULL
"391910","Nicole Wu",NULL,"28/08/2024","18047.99","INVALID","Credit","BR267","82473.58",NULL," Invalid Account Number","2024-08-28","Mismatch"
"460777","Jose Smith",NULL,"04-19-23","8383.35","USD","Credit","BR154","62017.57","Manual correction"," Invalid Account Number Invalid Date Invalid Date",NULL,"Mismatch"
"651850","Mark Martin",NULL,"March 5th","17766.36","INVALID","Transfer",NULL,"26003.71","Manual correction"," Invalid Account Number Invalid Date Invalid Date",NULL,"Mismatch"
"952179","Joseph Fleming",NULL,"07-26-24","18747.50","INR","Transfer","BR726","53173.72","Manual correction"," Invalid Account Number Invalid Date Invalid Date",NULL,"Mismatch"
"937034","Kimberly Brooks","22754443","March 24, 2022","4351.67","INR","Credit","BR105","12243.67","Manual correction",NULL,"2022-03-24",NULL
"609936","James Harris","52626308","August 23, 2021","16950.99","EUR","Credit","BR942","88173.83","Manual correction",NULL,"2021-08-23",NULL
"980106","Derek Gonzalez","87290055","19/08/2023","3692.22","INVALID","Debit","BR403","22149.75","Check bounced",NULL,"2023-08-19",NULL
"185071","Angela Gibson","22081629","2023-04-07","1909.73","INR","Transfer","BR867","70907.95","Admit even college director room customer.",NULL,"2023-04-07",NULL
"923033","Michael Davila","76206536","April 14, 2025","13349.89","INVALID","Transfer",NULL,"6656.10","Chair college him seem.",NULL,"2025-04-14",NULL
"533152","Carl Mckay","96091459","2023-08-17","15186.28","INVALID","Credit","BR614","10297.55","Check bounced",NULL,"2023-08-17",NULL
"138076","David Jones","88674957","21/10/2023","12913.45","GBP","Credit","BR910","76662.30","Manual correction",NULL,"2023-10-21",NULL
"372135","Charles Martinez","14041125","May 05, 2021","11831.42","USD","Debit","BR299","98805.23","Manual correction",NULL,"2021-05-05",NULL
"572890","Raymond Perez","98123450","26/08/2022","6041.72","USD","Debit","BR034","51206.91","Manual correction",NULL,"2022-08-26",NULL
"561596","Austin Ward","29261101","2024-01-21","4205.55","GBP","Transfer","BR326","88052.50",NULL,NULL,"2024-01-21",NULL
"700413","Shannon Newton","17184771","2021-09-06","1749.01","INVALID","Debit","BR156","61371.34",NULL,NULL,"2021-09-06",NULL
"554258","Matthew Burnett Iii","83434439","2023-03-07","18857.09","INR","Debit",NULL,"77015.72",NULL,NULL,"2023-03-07",NULL
"980601","Terri Watson","85854318","2022-08-22","13912.62","USD","Credit","BR248","62402.66","Party city no computer through might he oil.",NULL,"2022-08-22",NULL
"865684","Thomas Webb","56756375","19/02/2023","581.80","GBP","Transfer","BR455","79306.87","Check bounced",NULL,"2023-02-19",NULL
"558274","Jennifer Watkins","69423970","December 04, 2021","9602.98","INVALID","Debit","BR222","48921.52","Check bounced",NULL,"2021-12-04",NULL
"690873","Madeline Brown","21978811","November 16, 2022","4447.64","INVALID","Credit","BR438","94080.26","Employee artist light chance.",NULL,"2022-11-16",NULL
"549255","Rebecca Dean","39680966","2024-04-14","9049.85","EUR","Debit","BR318","46771.22","Manual correction",NULL,"2024-04-14",NULL
"807669","Amanda Rhodes","35046327","2021-05-07","11128.03","INVALID","Credit","BR647","27973.93","Check bounced",NULL,"2021-05-07",NULL
"280313","Jason Riddle","73999569","August 17, 2025","2495.26","USD","Credit","BR991","20438.00","Story despite together power third.",NULL,"2025-08-17",NULL
"119488","Scott Pena","96413776","20/10/2023","18113.79","INVALID","Credit","BR566","83975.85",NULL,NULL,"2023-10-20",NULL
"356473","Toni Greene","58238226","14/05/2024","983.49","USD","Debit","BR750","92846.06","Check bounced",NULL,"2024-05-14",NULL
"847879","Sen Dvis","19904285","2021-08-07","7565.15","INVALID","Debit","BR244","44494.89",NULL,NULL,"2021-08-07",NULL
"565476","Brianna Gomez","11844658","November 17, 2022",NULL,"INVALID","Credit","BR472","92804.01","Manual correction"," Missing Critical Field","2022-11-17",NULL
"769773","Anthony Marsh Dds","56849382","2024-09-26","1639.13","INR","Credit","BR549","37201.48","Check bounced",NULL,"2024-09-26",NULL
"174078","Richard Moore","49287140","2025-10-23","1444.65","GBP","Transfer","BR519","32094.94","Check bounced",NULL,"2025-10-23",NULL
"857863","Dr. Carol Rodriguez","81972387","November 02, 2022","16730.62","INR","Transfer","BR572","17413.78","Chance drop represent draw clearly miss agent.",NULL,"2022-11-02",NULL
"579599","Christopher Brooks","11631647","06/07/2024","2751.44","EUR","Credit","BR215","5992.97",NULL,NULL,"2024-07-06",NULL
"562762","Christine Morris","72743029","March 01, 2025","8953.96","INVALID","Debit","BR909","20729.74","Manual correction",NULL,"2025-03-01",NULL
"776956","Shari Kim","34182037","March 20, 2025","9401.42","GBP","Debit",NULL,"53120.35","Enough law term.",NULL,"2025-03-20",NULL
"790732","Marissa Walton","40016761","January 11, 2025","16520.45","GBP","Credit","BR574","57988.60","Manual correction",NULL,"2025-01-11",NULL
"929511","Rachel Potts","18097375","23/11/2022","4006.65","USD","Debit","BR260","12870.70","Check bounced",NULL,"2022-11-23",NULL
"116361","Brittany Martin","71395205","2025-09-06","13472.00","EUR","Transfer","BR736","35157.36","Check bounced",NULL,"2025-09-06",NULL
"429778","Matthew Collier","27198979","2023-04-23","2320.04","INR","Debit",NULL,"8712.79","Manual correction",NULL,"2023-04-23",NULL
"675769","Claudia Rivas","54358892","December 24, 2023","1592.87","INVALID","Credit","BR729","69863.16","Check bounced",NULL,"2023-12-24",NULL
"492056","Hunter Frazier","62223293","2023-07-27","5185.06","INVALID","Credit",NULL,"9074.60","Check bounced",NULL,"2023-07-27",NULL
"321817","Brian Pham","73514253","2024-05-11","16832.29","USD","Transfer","BR379","46652.46",NULL,NULL,"2024-05-11",NULL
"295648","William Ball","95229180","08/12/2025","6288.52","GBP","Debit","BR643","43190.23","Check bounced",NULL,"2025-12-08",NULL
"497231","Phillip Bryant","10282799","February 22, 2024","13136.35","INVALID","Debit","BR322","38183.67","Check bounced",NULL,"2024-02-22",NULL
"938678","Kenneth Jackson","75437591","October 12, 2023","8665.35","INVALID","Debit","BR545","99730.20",NULL,NULL,"2023-10-12",NULL
"150980","Rachel Harris",NULL,"03/04/2022","8293.59","USD","Transfer","BR563","5152.07","Manual correction"," Invalid Account Number","2022-04-03","Mismatch"
"222660","Jocelyn Stone","72400233","March 10, 2024","16944.86","INR","Credit","BR286","63308.26",NULL,NULL,"2024-03-10",NULL
"720912","Amy Pena","24349679","March 29, 2021","3511.07","INVALID","Debit",NULL,"78566.67","Manual correction",NULL,"2021-03-29",NULL
"645632","Robert Anderson","21416020","November 27, 2023","13942.73","USD","Debit","BR920","46649.80","Manual correction",NULL,"2023-11-27",NULL
"347374","Amy Johnson",NULL,"November 08, 2024","2465.79","INVALID","Debit","BR255","92217.37","Anyone finish indeed party way."," Invalid Account Number","2024-11-08","Mismatch"
"990723","Robert Pollard","98909346","27/01/2026","4242.06","INR","Credit","BR373","61557.45",NULL,NULL,"2026-01-27",NULL
"357468","Lisa Butler","84369414","2024-09-22","10493.70","EUR","Debit","BR990","85513.58",NULL,NULL,"2024-09-22",NULL
