Transaction_ID,Customer_Name,Account_Number,Transaction_Date,Transaction_Amount,Currency,Transaction_Type,Branch_Code,Balance_After_Transaction,Notes
735372,Michael Rodriguez,54195710,07/03/2025,16905.6,EUR,Transfer,,10064.04,Manual correction
104879,Lisa Reed,76037928,28/11/2025,3088.85,EUR,Transfer,BR069,47849.66,Test entry
910193,Shane Adams,34846306,2022-09-02,8126.04,GBP,Debi,BR941,29634.89,Manual correction
,Stacie Underwood,33160668,01/06/2023,-4717.18,EUR,Transfer,BR528,58964.81,Check bounced
280165,Margaret Hanson,27950913,March 5th,952.75,XYZ,Trnsfr,BR053,92951.46,Fire conference decade seek coach voice.
139718,Elizabeth Miller,62605927,19/09/2024,16948.34,,Crdit,BR364,75821.63,N/A
449347,Christine Bell,36208337,"May 06, 2021",-3597.11,,Transfer,BR336,95240.86,
424218,Kathryn Martinez,6707,10-02-25,8349.49,GBP,Debi,BR585,49850.31,Test entry
890504,Madeline Hunt,68892816,March 5th,4101.05,USD,Transfer,BR865,13925.77,Test entry
726889,Chelsea Preston,88404255,28/09/2024,-1324.16,,Trnsfr,BR641,37539.54,Test entry
814166,David Sawyer,66067858,06/03/2026,4791.34,USD,Debit,BR683,94056.94,Peace detail skill audience red occur.
839453,Jeffery Ramirez III,73359,"May 15, 2024",10383.74,,Credit,BR743,15941.87,Manual correction
755197,john moore,74327381,March 5th,,INR,Crdit,BR686,79695.96,Check bounced
117503,Christopher Wilkins,14894797,March 5th,5065.21,GBP,Debi,BR637,23066.91,N/A
257117,Maureen Miller,173110,08/11/2024,,,Debi,BR757,51911.42,White particular chair have day need performance capital.
847714,David Acosta,54845192,March 5th,9570.5,EUR,Debit,BR357,87567.63,Check bounced
,Anthony Fleming,43081648,"August 22, 2024",14495.79,USD,Transfer,BR816,93425.61,Test entry
671780,Jonathan Thomas,7531,March 5th,2179.7,XYZ,Transfer,BR314,23745.9,He work a truth program whose pull now.
644870,Daniel Wilkerson,64439718,11-28-21,,GBP,Trnsfr,BR866,97900.76,
750308,Roger White,19515765,2025-04-20,18723.02,,Crdit,BR464,43942.39,Check bounced
963629,Anthony Hancock,88831416,08-21-22,19072.93,,Trnsfr,BR772,75492.08,
853942,Alyssa Hicks,55225806,01-19-22,-4079.7,GBP,Trnsfr,BR943,20419.05,Check bounced
283074,Cynthia Ferrell,65227418,09-11-21,-1386.52,XYZ,Debit,BR698,93976.34,Research movie your here.
812116,Heather Crawford,28489850,04-21-23,16162.46,USD,Trnsfr,BR040,39282.96,Test entry
729369,Jose Stewart,31310156,2024-12-27,10928.36,USD,Transfer,BR644,54579.12,
161820,Jodi Burke,37478471,08-15-22,,INR,Debi,BR436,95293.19,
501595,Krista Estrada,57841310,06/11/2023,-4967.44,USD,Trnsfr,BR852,51952.48,N/A
879719,Nathan Conway,25146109,27/02/2023,4739.46,GBP,Debit,BR855,28522.5,
915855,Dawn Price,50585101,"March 17, 2025",10356.36,GBP,Debi,BR357,45569.14,Floor tree teach.
703445,TREVOR VILLARREAL,26275327,March 5th,-2523.84,,Crdit,,40907.58,Check bounced
317724,Tony Barber,70091016,"March 27, 2021",1114.32,,Transfer,BR249,51623.44,
397709,Lisa Murray MD,28488330,2025-08-15,2271.81,USD,Debit,BR722,91729.55,
680577,Alexandra Castaneda,11866663,2022-04-23,-1784.8,GBP,Trnsfr,BR768,17120.18,Manual correction
227445,Gary Graham,71424,03-11-24,16223.15,GBP,Credit,BR647,19545.63,Manual correction
712497,Sydney Schultz,33789052,03-05-26,3675.31,EUR,Transfer,BR641,78881.86,Check bounced
885206,Mr. Keith Taylor MD,96783311,"March 16, 2026",-1835.37,XYZ,Crdit,BR398,60039.56,Test entry
,Christopher Hudson,67190181,March 5th,-1548.94,USD,Trnsfr,BR854,155.54,Test entry
